"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"3420 Elverum";.;.;.;.;.;268.6
"3421 Trysil";.;.;.;.;.;153.0
"3422 Åmot";.;.;.;.;.;138.3
"3423 Stor-Elvdal";.;.;.;.;.;66.0
"3424 Rendalen";.;.;.;.;.;80.5
"3425 Engerdal";.;.;.;.;.;136.0
"3426 Tolga";.;.;.;.;.;99.5
"3427 Tynset";.;.;.;.;.;138.6
"3428 Alvdal";.;.;.;.;.;160.5
"3429 Folldal";.;.;.;.;.;157.0
"3430 Os";.;.;.;.;.;82.0
"3431 Dovre";.;.;.;.;.;74.0
"3432 Lesja";.;.;.;.;.;117.0
"3433 Skjåk";.;.;.;.;.;203.0
"3434 Lom";.;.;.;.;.;107.0
"3435 Vågå";.;.;.;.;.;134.7
"3436 Nord-Fron";.;.;.;.;.;120.0
"3437 Sel";.;.;.;.;.;190.0
"3438 Sør-Fron";.;.;.;.;.;121.0
"3439 Ringebu";.;.;.;.;.;133.3
"3440 Øyer";.;.;.;.;.;178.3
"3441 Gausdal";.;.;.;.;.;160.8
"3442 Østre Toten";.;.;.;.;.;168.4
"3443 Vestre Toten";.;.;.;.;.;238.7
"3446 Gran";.;.;.;.;.;157.1
"3447 Søndre Land";.;.;.;.;.;168.3
"3448 Nordre Land";.;.;.;.;.;232.3
"3449 Sør-Aurdal";.;.;.;.;.;75.0
"3450 Etnedal";.;.;.;.;.;146.0
"3451 Nord-Aurdal";.;.;.;.;.;311.5
"3452 Vestre Slidre";.;.;.;.;.;238.0
"3453 Øystre Slidre";.;.;.;.;.;113.7
"3454 Vang";.;.;.;.;.;184.0
"0402 Kongsvinger (-2019)";237.5;234.6;228.1;257.3;249.9;.
"0403 Hamar (-2019)";264.5;265.7;264.8;266.8;266.3;.
"0412 Ringsaker (-2019)";190.9;189.0;198.2;200.3;198.8;.
"0415 Løten (-2019)";160.6;156.2;156.6;158.4;162.8;.
"0417 Stange (-2019)";170.4;169.5;170.8;161.9;164.2;.
"0418 Nord-Odal (-2019)";187.3;186.7;179.3;176.0;169.0;.
"0419 Sør-Odal (-2019)";138.0;132.3;130.0;133.5;800.0;.
"0420 Eidskog (-2019)";196.3;183.3;180.7;173.7;168.3;.
"0423 Grue (-2019)";469.0;452.0;431.0;405.0;381.0;.
"0425 Åsnes (-2019)";184.3;177.3;173.8;170.3;165.5;.
"0426 Våler (Hedmark) (-2019)";115.3;114.7;114.3;173.5;165.0;.
"0427 Elverum (-2019)";243.3;223.6;223.3;274.2;244.3;.
"0428 Trysil (-2019)";151.5;150.8;153.3;160.8;154.5;.
"0429 Åmot (-2019)";130.5;130.0;124.8;147.3;142.3;.
"0430 Stor-Elvdal (-2019)";72.3;74.0;70.7;69.7;68.3;.
"0432 Rendalen (-2019)";94.5;96.5;98.5;90.5;84.5;.
"0434 Engerdal (-2019)";84.5;164.0;163.0;154.0;144.0;.
